,Company,Average,Lowest,Highest,Python,aws,sql,keras,pytorch,scikit,tensor,hadoop,tableau,RoleName,Rel-Experience,Total_Exp,Prev-CTC
216,Integral Ad Science,154523.0,196202.0,155684.0,1,0,1,0,0,0,0,0,1,1,0,0,104257.0
217,Sahyadri College of Engineering & Management,199592.0,239103.0,259878.0,1,0,0,0,0,0,0,0,0,0,0,0,193610.0
218,Hartron,180937.0,182047.0,176269.0,1,1,1,0,0,0,0,1,0,2,0,0,117710.0
219,SRM Institute of Science and Technology,152079.0,170777.0,193860.0,1,1,1,0,0,0,0,1,0,2,0,0,190387.0
220,Pspl,168814.0,181444.0,156251.0,1,0,1,0,0,0,0,0,1,1,1,0,163209.0
221,Convosight,176795.0,172859.0,162109.0,1,0,1,0,0,0,0,0,0,0,0,0,292136.0
222,Cybage Software,161795.0,186732.0,159215.0,1,0,1,0,0,0,0,0,0,1,0,0,272255.0
223,Xybion Corp,158875.0,197294.0,181290.0,0,0,0,0,0,0,0,0,0,0,0,0,264693.0
224,College Nannies+Sitters+Tutors,192042.0,167921.0,171207.0,1,0,1,0,0,0,0,0,0,0,0,0,127174.0
225,CredAvenue,197794.0,168860.0,166256.0,1,0,1,0,0,0,0,0,1,0,1,0,252542.0
226,Valeo,192328.0,157987.0,150447.0,0,0,1,0,0,0,0,0,0,0,1,0,292724.0
227,Hippodrome Casino,177548.0,187583.0,167090.0,0,1,1,0,0,0,0,0,0,1,1,0,298358.0
228,Allsec,174540.0,194343.0,175137.0,0,0,0,0,0,0,0,0,0,0,0,0,187167.0
229,ASM Technologies,175066.0,185598.0,165435.0,0,0,0,0,0,0,0,0,0,0,1,0,134972.0
230,Megha Engineering and Infrastructure,179395.0,174883.0,179277.0,0,0,1,0,0,0,0,0,1,1,0,0,111622.0
231,Global Experience Specialists,174739.0,175856.0,199398.0,1,1,1,0,0,0,0,1,1,2,1,0,192353.0
232,Grmtech,174618.0,172618.0,167497.0,1,0,1,0,0,0,0,0,0,0,1,0,243134.0
233,Eli Lilly and Company,155259.0,159599.0,171602.0,1,0,1,0,0,1,1,1,0,0,0,0,188748.0
234,Nowhereman,343312.0,413004.0,445275.0,1,1,1,0,0,1,0,1,1,0,1,2,268505.0
235,PQE Group,194743.0,169035.0,169788.0,0,0,0,0,0,0,0,0,0,0,1,0,145898.0
236,OnPassive,193371.0,152756.0,188172.0,0,0,1,0,0,0,0,0,1,4,1,0,279485.0
237,Xenon Automotive,185343.0,168850.0,197374.0,0,1,0,0,0,0,0,0,0,0,0,0,221798.0
238,DoWell Research,158715.0,196801.0,187544.0,1,1,0,1,0,0,1,0,0,0,0,0,282292.0
239,AlphaSights,192830.0,155179.0,150749.0,1,1,0,0,0,1,0,1,0,0,1,0,225444.0
240,Prakat Solutions,576302.0,690084.0,750672.0,1,1,1,0,0,0,0,1,0,2,0,4,631211.0
241,Silicon Tech Lab,257164.0,307478.0,335431.0,1,0,1,0,1,1,1,0,0,0,0,0,147783.0
242,Tattle,172791.0,172699.0,167141.0,0,0,0,0,0,0,0,0,0,0,0,0,135350.0
243,James,157774.0,178991.0,192839.0,0,0,0,0,0,0,0,0,0,1,1,0,116541.0
244,AVL,161696.0,192989.0,173563.0,0,0,0,0,0,0,0,0,0,0,0,0,287706.0
245,Practically,185209.0,166806.0,195401.0,1,0,1,0,0,0,0,0,1,1,1,0,219977.0
246,Soroco,215655.0,259619.0,279518.0,0,0,1,0,0,0,0,0,0,1,0,0,109695.0
247,Quinbay,254228.0,305699.0,329870.0,1,0,1,0,0,0,0,0,1,0,0,0,176924.0
248,SMEcorner,175759.0,198977.0,165486.0,1,0,0,1,1,0,1,0,0,0,1,0,152845.0
249,Maruti Suzuki,184658.0,181396.0,154071.0,1,1,0,0,0,0,0,0,1,0,1,0,111483.0
250,Mercedes-Benz International,158345.0,164023.0,155855.0,1,1,1,0,0,0,0,0,1,2,0,0,152289.0
251,udaan.com,197700.0,163242.0,178334.0,0,0,1,0,0,0,0,0,0,0,1,0,110985.0
252,CSIR,164594.0,185296.0,193764.0,0,0,1,0,0,0,0,1,0,2,1,0,182731.0
253,AnalytixLabs,150227.0,167768.0,153258.0,0,0,0,0,0,0,0,0,0,0,0,0,181284.0
254,Zummit Infolabs,199556.0,186832.0,157747.0,0,0,0,0,0,0,0,0,0,0,1,0,235104.0
255,Coditation Systems,151489.0,195624.0,180500.0,1,1,1,1,1,1,1,1,0,0,0,0,204392.0
256,Nothing,169553.0,167800.0,170106.0,1,0,1,1,0,1,0,0,1,0,0,0,242352.0
